ubicacion_raw,latitud,longitud
"Poniente 108 654, Defensores De La República, Gustavo A. Madero, Distrito Federal",19.4679344,-99.1422687
"La Patera Vallejo, Gustavo A. Madero, Distrito Federal",19.5084773,-99.1579443
"Emiliano Zapata, Gustavo A. Madero, Distrito Federal",19.5759934,-99.1282341
"Avenida Ingeniero Alfredo Robles Domínguez 100, Vallejo, Gustavo A. Madero, Distrito Federal",19.4681464,-99.1243836
"Uranio 200, Nueva Industrial Vallejo, Gustavo A. Madero, Distrito Federal",19.5163835,-99.1488488
"Poniente, Industrial Vallejo, Gustavo A. Madero, Distrito Federal",19.4679344,-99.1422687
"Capultitlan, Gustavo A. Madero, Ciudad De México, Capultitlán, Gustavo A. Madero, Distrito Federal",19.4783568,-99.1336761
"Congreso De La Unión Calle Pelícano, Amp San Juan De Aragón, 07470 Ciudad De México, CDMX, Mexico, Granjas Modernas, Gustavo A. Madero, Distrito Federal",,
"Cam San Juan De Aragon 129 EDI ¨B¨ DPTO 301, El Olivo, Gustavo A. Madero, Distrito Federal",,
"Ferrocarril Hidalgo  1375, Bondojito, Gustavo A. Madero, Distrito Federal",19.4802926,-99.1078547
"Isla Del Bosque L24, Lindavista Sur, Gustavo A. Madero, Distrito Federal",,
"Triunfo A 132, Campestre Aragón, Gustavo A. Madero, Distrito Federal",19.4894221,-99.1118532
"Avenida Montiel Esq. Con Entre Coquinbo Y Curazao, Gustavo A. Madero, Distrito Federal",,
"C. 313 454, Nueva Atzacoalco, Gustavo A. Madero, Distrito Federal",19.4944821,-99.08776
"Edif 32 Ent A Depto 501, Lindavista Vallejo II Sección, Gustavo A. Madero, Distrito Federal",,
"Tepeyac Insurgentes, Gustavo A. Madero, Distrito Federal",19.4807706,-99.1197036
"Planetario Lindavista, Gustavo A. Madero, Distrito Federal",19.495379,-99.141747
"Av De Los 45 Metros Sn, San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal",,
"Estrella, Gustavo A. Madero, Distrito Federal",19.4750668,-99.1167561
"Norte 82-A 6100, Gustavo A. Madero, Distrito Federal",19.5129933,-99.1522732
"Cda Emiliano Zapata 20, San Felipe De Jesús, Gustavo A. Madero, Distrito Federal",,
"Delia 100, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4689771,-99.1210216
"Providencia, Gustavo A. Madero, Distrito Federal",19.4785468,-99.070034
"Blvrd. Bosque Real, Bosque Real, 52770 Huixquilucan, Edo De México., Progreso Nacional, Gustavo A. Madero, Distrito Federal",,
"Eje Central Lazaro Cardenas 1040, Nueva Industrial Vallejo, Gustavo A. Madero, Distrito Federal",19.5089708,-99.1530088
"Av. Acueducto 650, San Pedro Zacatenco, Gustavo A. Madero, Distrito Federal",19.5019691,-99.1210452
"Industrial, Gustavo A. Madero, Distrito Federal",19.4646793,-99.1195328
"Pedro Luis Ogazon 105, Vallejo, Gustavo A. Madero, Distrito Federal",19.4634751,-99.1275406
"Cuitlahuac 99, Villa De Aragón, Gustavo A. Madero, Distrito Federal",19.4698133,-99.0615124
"Progreso Nacional, Gustavo A. Madero, Distrito Federal",19.5184262,-99.1563715
"Norte 0, Gustavo A. Madero, Distrito Federal",19.5129933,-99.1522732
"Ampliación San Juan De Aragón, Gustavo A. Madero, Distrito Federal",19.4762375,-99.0838386
"Tres Estrellas, Gustavo A. Madero, Distrito Federal",19.4732606,-99.1114596
"SARA 4413, Guadalupe Tepeyac, Gustavo A. Madero, Distrito Federal",19.4655649,-99.1193389
"Unión 94, Industrial, Gustavo A. Madero, Distrito Federal",19.4634243,-99.1124864
"Ing Braulio Martinez Al 141, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",,
"Departamentos En Preventa En Lindavista S/N, Lindavista Norte, Gustavo A. Madero, Distrito Federal",,
"Santa Isabel Tola S/N, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",19.4998868,-99.1156771
"Venta Casa En La Colonia Cocoyotes S/N, Cocoyotes, Gustavo A. Madero, Distrito Federal",,
"Guadalupe Insurgentes Sn, Guadalupe Insurgentes, Gustavo A. Madero, Distrito Federal",19.4746604,-99.1322337
"Avenida Miguel Othon De Mendizabal S/N, Torres Lindavista, Gustavo A. Madero, Distrito Federal",19.5058907,-99.1494723
"Nueva Atzacoalco, Gustavo A. Madero, Distrito Federal",19.4987054,-99.0854671
"Brasilia  13, San Pedro Zacatenco, Gustavo A. Madero, Distrito Federal",19.5042067,-99.1209678
"Héroes De Chapultepec, Gustavo A. Madero, Distrito Federal",19.4741462,-99.0915049
"Villa De Aragón, Gustavo A. Madero, Distrito Federal",19.4616807,-99.061347
"Av. Ingeniero Eduardo Molina 1720, Edf 16, Depto 112, Vasco De Quiroga, Gustavo A. Madero, Distrito Federal",19.5008197,-99.0882544
"San Pedro Zacatenco, Gustavo A. Madero, Distrito Federal",19.5052459,-99.1216092
"15 De Agosto, Gustavo A. Madero, Distrito Federal",19.4846368,-99.1080907
"Del Obrero S/N, Del Obrero, Gustavo A. Madero, Distrito Federal",19.4998377,-99.0906027
"Huitzilihuitl S/n, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",19.5021923,-99.1121762
"La Laguna Ticoman, Gustavo A. Madero, Distrito Federal",,
"Miguel Bernard 1187, La Purísima Ticoman, Gustavo A. Madero, Distrito Federal",19.5095051,-99.1395813
"Miguel Othón De Mendizabal Oriente 0, Gustavo A. Madero, Distrito Federal",,
"Cuauhtemoc MZ6 LT52A, 25 De Julio, Colonia 25 De Julio, Gustavo A. Madero, Distrito Federal",,
"De Los 45 Metros SN, San Bartolo Atepehuacan, Gustavo A. Madero, Distrito Federal",,
"Estado De Querétaro Esq. Con Estado De San Luis Potosi Y Calle 3, Gustavo A. Madero, Distrito Federal",,
"Av. Insurgentes Nte., Industrial, Gustavo A. Madero, Distrito Federal",19.4861618,-99.118466
"Villa Gustavo A. Madero, Gustavo A. Madero, Distrito Federal",19.4616807,-99.061347
"Albino Zertuche 20, 15 De Agosto, Gustavo A. Madero, Distrito Federal",,
"Rompeolas 36, Residencial Acueducto De Guadalupe, Gustavo A. Madero, Distrito Federal",19.5271982,-99.1574028
"Pelícano 200, San Juan De Aragón Amp, Gustavo A. Madero, Distrito Federal",19.4802068,-99.1100075
"Avenida Montevideo 198, Lindavista Norte, Gustavo A. Madero, Distrito Federal",19.4863679,-99.1216754
"La Purísima Ticoman, Gustavo A. Madero, Distrito Federal",19.5137085,-99.1348947
"Artes 94-bis, Estanzuela, Gustavo A. Madero, Distrito Federal",19.4912101,-99.1095025
"Éuzkaro, Gustavo A. Madero, Distrito Federal",19.4788701,-99.1211501
"Valle De Madero, Gustavo A. Madero, Distrito Federal",19.4592895,-99.12072
"Albino Zertuche 24, 15 De Agosto, Gustavo A. Madero, Distrito Federal",,
"Xochiquetzal S/n, Santa Isabel Tola, Gustavo A. Madero, Distrito Federal",19.4987951,-99.1118805
"Bondojito, Gustavo A. Madero, Distrito Federal",19.4644228,-99.112086
"Rublos 35, Héroes De Cerro Prieto, Gustavo A. Madero, Distrito Federal",19.4529212,-99.0973491
"Avenida Cuitláhuac 100, Guadalupe Victoria, Gustavo A. Madero, Distrito Federal",19.4715442,-99.1392617
"San Pedro El Chico, Gustavo A. Madero, Distrito Federal",19.4744209,-99.0961758
"Adolfo Ruiz Cortines 100, Zona Escolar Oriente, Gustavo A. Madero, Distrito Federal",,
"Talpa S/N, San Felipe De Jesús, Gustavo A. Madero, Distrito Federal",19.4929862,-99.0790355
"Calle Del Panteón Y Camino A Tlecuilco S/N, San Juan, 52400 Malinalco, Méx., México, Gustavo A. Madero, Distrito Federal",,
"AV CENTENARIO, Santiago Atzacoalco, Gustavo A. Madero, Distrito Federal",19.5006923,-99.094593
"Departamento En  Venta Gustavo Madero Lindavista  GIS  25-661, Gustavo A. Madero, Distrito Federal",,
"Departamento En  Venta Gustavo Madero Lindavista  GIS  25-660, Gustavo A. Madero, Distrito Federal",,
"Departamento En  Venta Gustavo Madero Lindavista  GIS  25-659, Gustavo A. Madero, Distrito Federal",,
"Tetrazzini, Vallejo, Gustavo A. Madero, Distrito Federal",19.4671109,-99.1314027
"Poniente 140, Lindavista Vallejo I Sección, Gustavo A. Madero, Distrito Federal",19.4679344,-99.1422687
"Oniquina, 6225, Tres Estrellas, Gustavo A. Madero, Distrito Federal",19.4721222,-99.1105347
