colonia_oficial,gentrif_map_score_mean,gentrif_local_mean,price_m2_median,marginalidad_mean,score_15min_mean,n_registros,lat_centroide,lon_centroide,cat_mean_vus_200m_col,cat_mean_antiguedad_200m_col,cat_mean_ratio_construccion_200m_col,gentrification_index_alcaldia
nueva atzacoalco i,0.7668238090809453,0.5778848938184741,48250.0,5.0,0.5271739130434783,1,19.5045678,-99.0874159,1814.3621468926553,41.76553672316384,1.1984066525179997,0.829803447501769
nueva atzacoalco ii,0.7438762396614349,0.48609461614043264,32000.0,5.0,0.5739130434782609,5,19.49955112,-99.08658202000001,1971.0386539682543,41.63694416950768,1.203785062735939,0.829803447501769
nueva atzacoalco iii,0.7314255196948591,0.43629173627412954,21666.666666666668,4.0,0.5543478260869564,5,19.49354362,-99.0911732,2045.258062650603,38.4178083763626,1.3948522739553524,0.829803447501769
nueva industrial vallejo (fracc),0.7410495070413605,0.47478768566013535,30359.81588953372,1.0,0.2080745341614907,14,19.511350714285715,-99.15322235714287,4905.032240231549,32.674597230157254,1.7282553724924303,0.829803447501769
nueva tenochtitlan,0.711035027608572,0.35472976792898103,15536.315536315537,4.0,0.6521739130434783,2,19.455675300000003,-99.1021821,2158.6949295774643,47.963124199743916,1.568636925891413,0.829803447501769
palmatitla,0.7732343381662016,0.603527010159499,41632.65306122449,4.0,0.2554347826086957,1,19.5509176,-99.136275,1018.3199999999999,38.26829268292683,0.8765866291083831,0.829803447501769
panamericana,0.7118915911907838,0.35815602225782817,16666.666666666668,2.0,0.6413043478260869,3,19.4805738,-99.14363983333332,3209.5064647661043,44.23788949202672,1.8674459462483,0.829803447501769
parque metropolitano,0.7028371460291302,0.3219382416112137,14285.714285714286,4.0,0.11413043478260869,1,19.5682242,-99.1310044,711.6962132352941,29.977941176470587,0.7368945415417791,0.829803447501769
pemex lindavista (u hab),0.741930014477172,0.47830971540338096,31200.0,1.0,0.3695652173913043,1,19.5055014,-99.1353444,3007.074541884817,40.86649214659686,3.2815471161997785,0.829803447501769
planetario lindavista,0.7563763474958374,0.5360950474780423,35882.35294117647,3.0,0.391304347826087,1,19.495379,-99.141747,3558.8150961538454,40.92307692307692,1.8274596420896558,0.829803447501769
progreso nacional (ampl),0.7631628708519292,0.5632411409024095,27992.934782608696,4.0,0.21467391304347827,6,19.51775845,-99.16211996666668,2363.049421101774,39.80293036512851,1.4875715156100522,0.829803447501769
progreso nacional ii,0.7414814112668693,0.4765153025621699,27083.333333333336,1.0,0.2866847826086957,4,19.518654050000002,-99.15372745,2468.235762288787,37.435332588558396,1.56575227894406,0.829803447501769
providencia (ampl),0.7300826272149635,0.4309201663545473,15625.0,5.0,0.22826086956521738,3,19.4785468,-99.070034,2222.81,42.42467948717949,1.2068861219577633,0.829803447501769
providencia i,0.7754085008755739,0.6122236609969887,39068.62745098039,5.0,0.20108695652173914,3,19.4823184,-99.0759029,2220.4390540540544,39.96756756756757,1.155477809197816,0.829803447501769
providencia ii,0.7112189564195078,0.35546548317272425,16291.56010230179,5.0,0.125,1,19.4827579,-99.0666077,2222.8100000000004,41.77070063694268,0.9933264291820411,0.829803447501769
residencial la escalera (fracc),0.7297710032626734,0.42967367054538663,28445.51282051282,1.0,0.375,2,19.509572650000003,-99.13836015,2981.7200000000003,39.58004310195902,2.0329967775900877,0.829803447501769
residencial zacatenco,0.7493101151299579,0.5078301180145245,44615.38461538462,2.0,0.42536231884057973,15,19.503695686666667,-99.12374582666666,2559.4468180100034,38.79804287856417,1.5407571392375996,0.829803447501769
rosas del tepeyac,0.714573203191845,0.368882470262073,16500.0,3.0,0.592391304347826,1,19.4888349,-99.1170112,2923.4940234375,40.859375,1.5051135837161218,0.829803447501769
san bartolo atepehuacan (pblo),0.7441802721408303,0.4873107460580137,28594.771241830065,1.0,0.46135265700483097,9,19.49393541111111,-99.14185948888888,3408.3464032760166,39.997446668218466,2.006582640398845,0.829803447501769
san felipe de jesus iii,0.7204145696875247,0.3922479362447917,19006.57894736842,5.0,0.19972826086956522,4,19.500532375,-99.074048,2149.0400000000004,34.07657607895125,1.0672656532930054,0.829803447501769
san juan de aragon (pblo),0.7611675840711053,0.555259993779114,32692.30769230769,4.0,0.33695652173913043,1,19.4707656,-99.0862927,2444.6199999999994,39.96052631578947,2.27032446615945,0.829803447501769
san juan de aragon 1a seccion (u hab) i,0.7612068081309353,0.5554168900184344,39937.58823529412,3.0,0.4014945652173913,8,19.458209450000002,-99.0918075125,2878.2099999999996,44.4467376210314,1.023586346750599,0.829803447501769
san juan de aragon 1a seccion (u hab) ii,0.7178200831422786,0.38186999006380756,20312.5,3.0,0.4076086956521739,1,19.4606085,-99.0893813,2878.2099999999996,44.075,1.0489000838902747,0.829803447501769
san juan de aragon 2a seccion (u hab) i,0.7421185592358546,0.47906389443811126,30000.0,2.0,0.5021739130434784,5,19.451018819999998,-99.08748018,2878.2099999999996,43.35703504285279,1.0307169574982165,0.829803447501769
san juan de aragon 3a seccion (u hab) i,0.739781344495266,0.46971503547575694,27521.929824561405,2.0,0.5625,2,19.451986650000002,-99.07643955,2905.1099999999997,44.390454545454546,0.9242861830818875,0.829803447501769
san juan de aragon 3a seccion (u hab) ii,0.7129045616117036,0.3622079039415073,16189.18918918919,2.0,0.4782608695652174,1,19.4506769,-99.068002,2878.1677297297297,41.74864864864865,1.0747437513035627,0.829803447501769
san juan de aragon 4a  y 5a seccion (u hab) i,0.7674532588588094,0.5804026929299309,38437.5,2.0,0.5543478260869565,2,19.4520175,-99.0634767,2824.4524197798896,38.49367594860771,1.2058759214433996,0.829803447501769
san juan de aragon 4a  y 5a seccion (u hab) ii,0.7450430124758238,0.490761707397988,25395.490408106052,2.0,0.5905797101449276,6,19.461276716666664,-99.06140015,2806.361666666666,37.785476236167085,0.9156210982286231,0.829803447501769
san juan de aragon 6a seccion (u hab) i,0.7321338317921969,0.43912498466348043,20479.26267281106,1.0,0.5869565217391305,1,19.4697938,-99.0707373,2819.599999999999,40.19156414762742,1.1327348263483306,0.829803447501769
