precio_mxn,publicado_reciente,tipo_inmueble,recamaras,banos,m2,ubicacion,colonia,url,latitud,longitud
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4841682898-departamento-en-venta-en-pueblo-san-juan-de-aragon-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2878189405-departamento-nuevo-en-venta-a-5-minutos-de-patio-martin-carrera-_JM,,
,False,Otro Inmueble,,,,,,https://casa.mercadolibre.com.mx/MLM-5300454034--casa-en-venta-amplios-espacios-para-tu-familia-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2501069371-edificio-en-venta-en-vallejo-g-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5034811546-rio-consulado-departamentos-en-preventa-san-juan-de-aragon-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-5262386462-bodega-en-venta-suelo-comercial-alcaldia-gam-cod-bgv283-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-2800675923-preventa-departamento-en-venta-en-san-juan-de-aragon-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5071770954-departamento-nuevo-al-norte-de-la-cdmx-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2574002683-edificio-para-inversion-de-3-niveles-en-vallejo-ciudad-de-mexico-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5209618408-departamento-en-venta-av-acueducto-de-guadalupe-511-santa-isabel-tola-_JM,,
,False,Otro Inmueble,,,,,,https://inmueble.mercadolibre.com.mx/MLM-2880655703-edificio-en-venta-con-uso-de-suelo-mixto-industrial-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-5078580412-hermoso-departamento-con-gran-ubicacion-en-gustavo-a-madero-_JM,,
,False,Otro Inmueble,,,,,,https://departamento.mercadolibre.com.mx/MLM-4685574422-departamento-en-venta-en-insurgentes-norte-magdalena-de-las-salinas-_JM,,
,False,Otro Inmueble,,,,,,https://terreno.mercadolibre.com.mx/MLM-5310051702-venta-terreno-av-ticoman-lindavista-excelente-ubicacion-_JM,,
