source,title,location,renta_mensual,rooms,bathrooms,parking_spaces,area,antiguedad,alcaldia,colonia_o_municipio,latitud,longitud,url
mercadolibre_rentas,Departamento en Renta,"Tabacalera, Cuauhtémoc, Distrito Federal",19800.0,1,1,1,31.0,30.0,Cuauhtémoc,Tabacalera,19.4360737,-99.1539172,https://departamento.mercadolibre.com.mx/MLM-2939302039-renta-departamento-tipo-loft-zona-reforma-opcion-renta-amueblado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=21&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Xoco, Benito Juárez, Distrito Federal",32000.0,1,1,1,68.0,30.0,Benito Juárez,Xoco,19.3601941,-99.1668669,https://departamento.mercadolibre.com.mx/MLM-2939517635-renta-departamento-mitikah-torre-residencial-xoco-benito-juarez-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=22&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Del Valle Sur, Benito Juárez, Distrito Federal",58000.0,3,2,2,144.0,30.0,Benito Juárez,Del Valle Sur,19.3890898,-99.1743711,https://departamento.mercadolibre.com.mx/MLM-2939517625-renta-departamento-be-grand-del-valle-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=23&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Cuauhtémoc, Distrito Federal",19800.0,1,1,1,31.0,30.0,Cuauhtémoc,Cuauhtémoc,19.4326296,-99.1331785,https://departamento.mercadolibre.com.mx/MLM-2939302013-renta-departamento-tipo-loft-zona-reforma-opcion-renta-amueblado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=24&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Juárez, Cuauhtémoc, Distrito Federal",31000.0,1,1,1,48.0,30.0,Cuauhtémoc,Juárez,19.4332704,-99.1476839,https://departamento.mercadolibre.com.mx/MLM-5362817518-renta-departamento-en-university-tower-paseo-de-la-reforma--_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=25&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Lomas De Sotelo, Miguel Hidalgo, Distrito Federal",20000.0,1,1,1,54.0,30.0,Miguel Hidalgo,Lomas De Sotelo,19.4497398,-99.2150977,https://departamento.mercadolibre.com.mx/MLM-5362817542-renta-departamento-tipo-loft-en-residencial-vistas-del-bosque-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=26&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Roma Norte, Cuauhtémoc, Distrito Federal",28900.0,1,1,1,42.0,30.0,Cuauhtémoc,Roma Norte,19.4183227,-99.1625655,https://departamento.mercadolibre.com.mx/MLM-2939378873-renta-exclusivo-loft-en-excelente-ubicacion-opcion-renta-amueblado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=27&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Lomas De Sotelo, Miguel Hidalgo, Distrito Federal",29900.0,2,2,1,67.0,30.0,Miguel Hidalgo,Lomas De Sotelo,19.4497398,-99.2150977,https://departamento.mercadolibre.com.mx/MLM-2939301973-renta-departamento-amueblado-opcional-toreo-5min-carso-ampliacion-granada-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=28&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Cuauhtémoc, Distrito Federal",26200.0,1,1,1,40.0,30.0,Cuauhtémoc,Cuauhtémoc,19.4326296,-99.1331785,https://departamento.mercadolibre.com.mx/MLM-2939302015-renta-departamento-zona-reforma-opcion-renta-amueblado-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=29&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
mercadolibre_rentas,Departamento en Renta,"Ampliación Granada, Miguel Hidalgo, Distrito Federal",30700.0,2,2,1,67.0,30.0,Miguel Hidalgo,Ampliación Granada,19.442902,-99.2014215,https://departamento.mercadolibre.com.mx/MLM-2939517583-renta-departamento-amueblado-opcional-toreo-5min-carso-ampliacion-granada-_JM#polycard_client=search-desktop&float_highlight=recent_publication&price_drop=not_apply&be_origin=backend&search_layout=grid&position=30&type=item&tracking_id=e83cb510-286c-4ea9-9bdb-cd3bd9432e10
