tipo_inmueble,titulo,precio_mxn,recamaras,banos,m2,colonia,ubicacion,publicado_reciente,url
Departamento,,4600000,3,2,94,Avenida Acueducto,"Avenida Acueducto, Residencial La Escalera, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5030212546-departamento-en-venta-colonia-residencial-zacatenco-enkasa-vista-norte-_JM
Casa,Venta Casa 4 Ambientes Lindavista Norte,8550000,4,3,250,Conocido,"Conocido, 120, Lindavista Norte, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2940734807-venta-casa-4-ambientes-lindavista-norte-_JM
Departamento,,1350000,2,1,52,El Arbolillo 43,"El Arbolillo 43, Arbolillo II, Gustavo A. Madero, 07239 Ciudad De México, CDMX Edificio 47 Departamento 203, El Arbolillo, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-5030572072-departamento-en-venta-el-arbolillo-2-gustavo-a-madero-cdmex-_JM
Departamento,,1999000,3,2,62,Vasco De Quiroga,"Vasco De Quiroga, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2917168473-departamento-en-venta-planta-baja-gustavo-a-madero-_JM
Casa,,8500000,3,1,204,Ciudad De México,"Ciudad De México, CDMX, México, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-5204849316-casa-en-condominio-en-el-rincon-alvaro-obregon-ciudad-de-mexico-crb-1176-cd-_JM
Departamento,Precio Especial De Oportunidad!!!,1599998,2,1,67,Calz. Vallejo 1268,"Calz. Vallejo 1268, Santa Rosa, Ciudad De México, Santa Rosa, Gustavo A. Madero, Distrito Federal",False,https://departamento.mercadolibre.com.mx/MLM-2714310737-propiedad-en-venta-confort-y-seguridad-en-joyas-vallejo-precio-especial-de-oportunidad-_JM
Casa,Venta Casas Lindavista Sur T-df0217-0101,6700000,7,4,400,NORTE 25,"NORTE 25, Lindavista Sur, Gustavo A. Madero, Distrito Federal",False,https://casa.mercadolibre.com.mx/MLM-2824389363-venta-casas-lindavista-sur-t-df0217-0101-_JM
Edificio,,120000000,3,1,1400,Ciudad De México,"Ciudad De México, CDMX, México, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2872441655-edificio-en-leyes-de-reforma-3a-seccion-iztapalapa-ciudad-de-mexico-crb-902-ed-_JM
Edificio,Venta Edificios Vallejo T-df0219-0083,10700000,,,540,ESCUELA INDUSTRIAL,"ESCUELA INDUSTRIAL, Vallejo, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-2738954891-venta-edificios-vallejo-t-df0219-0083-_JM
Edificio,,8950000,,7,322,Granate,"Granate, Estrella, Gustavo A. Madero, Distrito Federal",False,https://inmueble.mercadolibre.com.mx/MLM-5058056268-edificio-en-venta-en-estrella-gam-gustavo-a-madero-_JM
