SKU,Titulo,Renta_MXN,Area_m2,Recamaras,Banos,Estacionamientos,Ubicacion,Alcaldia,Pagina_Origen,URL
41032-73-ae70d03dce8-4777-19dd5b7-8599-7633,Departamento en Renta en Polanco,58520,66,2,1,1,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-ae70d03dce8-4777-19dd5b7-8599-7633
41032-73-ca034a9876a3-a53e-19e4c91-9ca0-7457,Departamento en Renta en Periodista,31000,81,2,2,2,"Periodista, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-ca034a9876a3-a53e-19e4c91-9ca0-7457
41032-73-dbfea9877a01-79a-19ae1c5-b03a-760d,Departamento en Renta en Periodista,31000,82,2,2,2,"Periodista, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-dbfea9877a01-79a-19ae1c5-b03a-760d
41032-73-da950efcc8ed-2316-19d7b5c-a2d1-7207,Departamento en Renta en Lomas de Sotelo,20578,57,1,1,0,"Lomas de Sotelo, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-da950efcc8ed-2316-19d7b5c-a2d1-7207
41032-73-93056c4b55be-5bf2-19d7b15-9d55-7eb6,Departamento en Renta en Bosques de las Lomas,32336,61,1,1,1,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",Cuajimalpa de Morelos,2,https://www.lamudi.com.mx/detalle/41032-73-93056c4b55be-5bf2-19d7b15-9d55-7eb6
41032-73-3c5aa69fef9c-2c51-19d7b14-a792-76ca,Departamento en Renta en Bosques de las Lomas,32336,61,1,1,1,"Bosques de las Lomas, Cuajimalpa de Morelos, Ciudad de México",Cuajimalpa de Morelos,2,https://www.lamudi.com.mx/detalle/41032-73-3c5aa69fef9c-2c51-19d7b14-a792-76ca
41032-73-dc933cb6dd8f-c080-19dfbdf-b232-72f3,Departamento en Renta en Polanco,50000,100,2,2,0,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-dc933cb6dd8f-c080-19dfbdf-b232-72f3
41032-73-da44b4b5d7bf-1d0b-19c0848-a872-7273,Departamento en Renta en Polanco,90000,150,2,2,0,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-da44b4b5d7bf-1d0b-19c0848-a872-7273
41032-73-9ca0287df492-1609-1952112-8766-7258,Departamento en Renta en Roma Norte,58500,70,1,1,0,"Roma Norte, Cuauhtémoc, Ciudad de México",Cuauhtémoc,2,https://www.lamudi.com.mx/detalle/41032-73-9ca0287df492-1609-1952112-8766-7258
41032-73-13ff944f75e3-84c1-19c0836-a510-74fa,Departamento en Renta en Polanco,90000,153,2,3,0,"Polanco, Miguel Hidalgo, Ciudad de México",Miguel Hidalgo,2,https://www.lamudi.com.mx/detalle/41032-73-13ff944f75e3-84c1-19c0836-a510-74fa
