longitud,latitud,alcaldia,price,price_m2_raw,area,rooms,bathrooms,target_enc_colonia,ratio_precio_vecinal,gentrification_index,precio_predicho,error_pct
-99.1331785,19.4326296,Cuauhtémoc,35600.0,418.8235294117647,85.0,2,2.0,6.17497914847564,1.0199830687153035,0.830531038273375,23754.996874628985,-33.27248068924442
-99.2841662,19.3608547,Ampliación El Yaqui,33000.0,687.5,48.0,1,1.0,5.955812660375994,2.188591819033953,0.5,40060.791504599925,21.396337892727047
-99.1738081,19.3896634,Benito Juárez,22300.0,586.8421052631579,38.0,1,1.0,6.1341569192239485,1.4561839291249876,0.933319961735651,23583.192782561608,5.754227724491514
-99.1562478,19.3907336,Narvarte Poniente,28000.0,311.1111111111111,90.0,2,2.0,5.348958205493196,1.0543770877891572,0.5,29018.548575528977,3.637673484032062
-99.1738081,19.3896634,Benito Juárez,23700.0,677.1428571428571,35.0,1,1.0,6.0681419847985065,1.6802552806790054,0.933319961735651,18498.48140078972,-21.947335861646756
-99.2004025,19.4362674,Miguel Hidalgo,85000.0,485.7142857142857,175.0,2,2.0,5.359008334663595,1.2753593337287537,0.8585849060226639,19444.752645572175,-77.1238204169739
-99.157701,19.3718796,Benito Juárez,27000.0,317.6470588235294,85.0,2,2.0,5.7272357014425115,0.9729949522289183,0.933319961735651,31820.77921943399,17.854737849755516
-99.2651314,19.3865976,Cuajimalpa de Morelos,28500.0,206.52173913043478,138.0,2,2.0,5.670064800145735,0.9054378075418247,0.49427437331671703,15293.897579330736,-46.337201476032504
-99.1589364,19.4314177,Tabacalera,50000.0,500.0,100.0,2,2.0,5.3570974795969715,0.9640430356768779,0.5,31611.920960574123,-36.77615807885175
-99.2597597,19.3771699,Palo Alto,42200.0,453.76344086021504,93.0,2,2.0,5.4039850772983575,1.3952918633951938,0.5,30080.457617241416,-28.71929474587342
-99.1583477,19.3983786,Narvarte Poniente,30000.0,333.3333333333333,90.0,2,2.0,5.35373893587611,1.2214309621042798,0.5,48103.75993013632,60.34586643378774
-99.2347487,19.324088,San Jerónimo Lídice,21600.0,360.0,60.0,1,1.0,5.347010203671757,2.045258831308309,0.5,58369.402801711396,170.22871667458978
-99.2014215,19.442902,Miguel Hidalgo,25600.0,731.4285714285714,35.0,1,1.0,6.076442707365677,1.4712418050041436,0.8585849060226639,18967.636050770438,-25.907671676677978
-99.1624218,19.4379452,Cuauhtémoc,20000.0,526.3157894736842,38.0,1,1.0,6.096168781482092,1.1854720413262692,0.830531038273375,26873.88862716498,34.369443135824895
