entidad,nom_mun,nom_loc,longitud,latitud,pobtot,p18ym_pb,vph_inter,vph_pc,vph_autom,vph_telef,vph_lavad,vph_snbien,graproes,pea,prom_ocup,pder_ss,pct_internet,pct_educ_sup
9,Tlalpan,Huinixco,-99.1624613888889,19.174913611111112,271,55.0,12.0,11.0,28.0,1.0,29.0,0.0,8.28,163.0,4.11,174.0,4.428044280442804,20.29520295202952
9,Tlalpan,Rancho Kyalami,-99.23283611111111,19.202370277777778,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Los Sauces,-99.230165,19.19960138888889,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,La Troje,-99.23142,19.210792777777776,18,7.0,5.0,4.0,2.0,6.0,4.0,0.0,9.93,12.0,2.57,13.0,27.77777777777778,38.88888888888889
9,Tlalpan,El Cofrecito,-99.24226861111111,19.245319722222224,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Rancho los Compadres,-99.2257,19.216036666666668,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Camino Viejo a San Andrés,-99.19119222222223,19.239314166666666,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Rancho San Nicolás,-99.22684083333334,19.217154166666663,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,El Arenal,-99.18621972222222,19.233587500000002,65,17.0,4.0,3.0,4.0,5.0,6.0,0.0,8.89,37.0,4.33,50.0,6.153846153846154,26.153846153846157
9,Tlalpan,Cuanejaque,-99.17666222222223,19.196144722222222,239,61.0,15.0,14.0,22.0,5.0,31.0,4.0,8.36,149.0,3.41,165.0,6.2761506276150625,25.523012552301257
9,Tlalpan,El Oyameyo,-99.1714175,19.18823,189,59.0,42.0,23.0,30.0,31.0,40.0,0.0,9.67,120.0,3.44,188.0,22.22222222222222,31.216931216931215
9,Tlalpan,Parada Oyameyo (Kilómetro 31.5),-99.16731277777778,19.19236972222222,112,60.0,21.0,16.0,22.0,18.0,28.0,0.0,11.48,72.0,3.11,66.0,18.75,53.57142857142857
9,Tlalpan,La Campana,-99.2440511111111,19.250979722222223,20,3.0,1.0,2.0,5.0,0.0,6.0,0.0,8.08,11.0,2.5,11.0,5.0,15.0
9,Tlalpan,La Rufina,-99.23329583333333,19.232119166666664,50,4.0,1.0,0.0,0.0,2.0,0.0,2.0,7.61,39.0,5.0,23.0,2.0,8.0
9,Tlalpan,Nopaltitla,-99.21471555555556,19.23515111111111,669,148.0,54.0,34.0,80.0,6.0,91.0,2.0,8.45,398.0,3.94,640.0,8.071748878923767,22.122571001494766
9,Tlalpan,Tres Cabañas,-99.22395583333333,19.217093055555555,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,El Alambrado,-99.24626388888889,19.228961388888887,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Xomulco (Oyamertonco),-99.22797472222223,19.218535277777775,36,8.0,1.0,2.0,3.0,1.0,2.0,0.0,9.0,27.0,3.27,16.0,2.7777777777777777,22.22222222222222
9,Tlalpan,Rancho Chico,-99.23398583333334,19.199588055555555,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Rancho los Cedros del Abuelo,-99.22522444444445,19.20841638888889,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,La Morucha,-99.17437083333334,19.194030277777777,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Barranquilla,-99.18336666666667,19.19065388888889,18,2.0,3.0,1.0,0.0,0.0,0.0,0.0,6.33,8.0,4.5,18.0,16.666666666666664,11.11111111111111
9,Tlalpan,La Capilla,-99.22044944444444,19.190642222222223,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,El Sicomoro,-99.17614722222223,19.189983055555555,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Tlamenelolpa (Los Encinos),-99.17553166666667,19.19061472222222,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,La Candelaria,-99.16593916666667,19.18973888888889,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,La Providencia,-99.16565555555556,19.18907888888889,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Finca Trancas (UCAPSA),-99.1666438888889,19.187227777777778,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Kilómetro 32.3,-99.16584916666667,19.185064166666667,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tlalpan,Temaxcatitla (Kilómetro 32.2),-99.16296972222223,19.185476944444446,65,28.0,8.0,5.0,6.0,8.0,8.0,1.0,10.33,43.0,3.82,45.0,12.307692307692308,43.07692307692308
9,Tlalpan,Colonia Ocotla,-99.15880138888889,19.216086666666666,121,32.0,11.0,5.0,9.0,8.0,22.0,0.0,9.16,61.0,3.9,69.0,9.090909090909092,26.446280991735538
9,Tlalpan,Kilómetro 29.5,-99.1566425,19.206186111111112,44,18.0,4.0,5.0,9.0,4.0,9.0,0.0,11.18,26.0,3.67,26.0,9.090909090909092,40.909090909090914
9,Tlalpan,Lomas del Capulín (Kilómetro 30),-99.1626988888889,19.204390277777776,529,141.0,61.0,36.0,64.0,48.0,87.0,0.0,9.07,278.0,4.04,332.0,11.531190926275993,26.65406427221172
9,Tlalpan,Tlatepancaltitla (Kilómetro 30.5),-99.16370333333334,19.201065277777776,55,8.0,0.0,1.0,5.0,0.0,6.0,0.0,7.83,35.0,3.24,25.0,0.0,14.545454545454545
